Opening,Opening.1,Title,Production company,Cast and crew,.mw-parser-output .tooltip-dotted{border-bottom:1px dotted;cursor:help}Ref.,Ref.
A U G U S T,13.0,CODA,Apple TV+ / Pathé Films,"Sian Heder (director/screenplay); Emilia Jones, Eugenio Derbez, Troy Kotsur, Ferdia Walsh-Peelo, Daniel Durant, Marlee Matlin",,
A U G U S T,13.0,Not Going Quietly,Greenwich Entertainment,Nicholas Bruckman (director/screenplay); Amanda Roddy (screenplay),,[151]
A U G U S T,20.0,PAW Patrol: The Movie,Paramount Pictures / Nickelodeon Movies / Paramount+,"Cal Brunker (director); Cal Brunker, Bob Barlen, Billy Frolick (screenplay); Iain Armitage, Marsai Martin, Ron Pardo, Yara Shahidi, Kim Kardashian West, Randall Park, Dax Shepard, Tyler Perry, Jimmy Kimmel, Will Brisbin",,[152]
A U G U S T,20.0,Reminiscence,Warner Bros. Pictures / FilmNation Entertainment / HBO Max,"Lisa Joy (director/screenplay); Hugh Jackman, Rebecca Ferguson, Thandiwe Newton, Cliff Curtis, Marina de Tavira, Daniel Wu",,[153]
A U G U S T,20.0,The Protégé,Lionsgate / Millennium Media / Ingenious Media,"Martin Campbell (director); Richard Wenk (screenplay); Michael Keaton, Maggie Q, Samuel L. Jackson, Robert Patrick",,[154]
A U G U S T,20.0,Sweet Girl,Netflix,"Brian Andrew Mendoza (director); Philip Eisner, Gregg Hurwitz (screenplay); Jason Momoa, Isabela Merced, Manuel Garcia-Rulfo, Raza Jaffrey, Justin Bartha, Lex Scott Davis, Michael Raymond-James, Adria Arjona, Amy Brenneman",,
A U G U S T,20.0,The Loud House Movie,Netflix Animation / Nickelodeon Movies,"Dave Needham (director); Asher Bishop, David Tennant, Michelle Gomez, Jill Talley, Brian Stepanek, Catherine Taber, Liliana Mumy, Nika Futterman, Cristina Pucelli, Jessica DiCicco, Grey Griffin, Lara Jill Miller, Katy Townsend, Andre Robinson",,
A U G U S T,20.0,The Night House,Searchlight Pictures / TSG Entertainment,"David Bruckner (director); Ben Collins, Luke Piotrowski (screenplay); Rebecca Hall, Sarah Goldberg, Evan Jonigkeit, Stacy Martin, Vondie Curtis-Hall",,[155]
A U G U S T,20.0,Flag Day,Metro-Goldwyn-Mayer,"Sean Penn (director); Jez Butterworth, John-Henry Butterworth (screenplay); Dylan Penn, Sean Penn, Katheryn Winnick, Eddie Marsan, Josh Brolin, Regina King",,[156]
A U G U S T,20.0,Cryptozoo,Magnolia Pictures,"Dash Shaw (director/screenplay); Lake Bell, Michael Cera, Angeliki Papoulia, Zoe Kazan, Peter Stormare, Grace Zabriskie, Louisa Krause, Thomas Jay Ryan, Alex Karpovsky",,[157]
